a	/a/
aarónica	/aaˈɾonika/
aarónicas	/aaˈɾonikas/
aarónico	/aaˈɾoniko/
aarónicos	/aaˈɾonikos/
aba	/aβa/
ababa	/aβaβa/
ababais	/aβaβais/
abábamos	/aˈβaβamos/
ababan	/aβaβan/
ababas	/aβaβas/
ababilla	/aβaβiʎa/
ababillaba	/aβaβiʎaβa/
ababillabais	/aβaβiʎaβais/
ababillábamos	/aβaβiˈʎaβamos/
ababillaban	/aβaβiʎaβan/
ababillabas	/aβaβiʎaβas/
ababillad	/aβaβiʎað/
ababillada	/aβaβiʎaða/
ababilladas	/aβaβiʎaðas/
ababillado	/aβaβiʎaðo/
ababillados	/aβaβiʎaðos/
ababilláis	/aβaβiˈʎais/
ababillamos	/aβaβiʎamos/
ababillan	/aβaβiʎan/
ababillando	/aβaβiʎando/
ababillándome	/aβaβiˈʎandome/
ababillándonos	/aβaβiˈʎandonos/
ababillándoos	/aβaβiˈʎandoos/
ababillándose	/aβaβiˈʎandose/
ababillándote	/aβaβiˈʎandote/
ababillar	/aβaβiʎaɾ/
ababillará	/aβaβiʎaˈɾa/
ababillara	/aβaβiʎaɾa/
ababillarais	/aβaβiʎaɾais/
ababilláramos	/aβaβiˈʎaɾamos/
ababillarán	/aβaβiʎaˈɾan/
ababillaran	/aβaβiʎaɾan/
ababillarás	/aβaβiʎaˈɾas/
ababillaras	/aβaβiʎaɾas/
ababillaré	/aβaβiʎaˈɾe/
ababillare	/aβaβiʎaɾe/
ababillaréis	/aβaβiʎaˈɾeis/
ababillareis	/aβaβiʎaɾeis/
ababilláremos	/aβaβiˈʎaɾemos/
ababillaremos	/aβaβiʎaɾemos/
ababillaren	/aβaβiʎaɾen/
ababillares	/aβaβiʎaɾes/
ababillaría	/aβaβiʎaˈɾia/
ababillaríais	/aβaβiʎaˈɾiais/
ababillaríamos	/aβaβiʎaˈɾiamos/
ababillarían	/aβaβiʎaˈɾian/
ababillarías	/aβaβiʎaˈɾias/
ababillarme	/aβaβiʎaɾme/
ababillarnos	/aβaβiʎaɾnos/
ababillaron	/aβaβiʎaɾon/
ababillaros	/aβaβiʎaɾos/
ababillarse	/aβaβiʎaɾse/
ababillarte	/aβaβiʎaɾte/
ababillas	/aβaβiʎas/
ababillase	/aβaβiʎase/
ababillaseis	/aβaβiʎaseis/
ababillásemos	/aβaβiˈʎasemos/
ababillasen	/aβaβiʎasen/
ababillases	/aβaβiʎases/
ababillaste	/aβaβiʎaste/
ababillasteis	/aβaβiʎasteis/
ababillé	/aβaβiˈʎe/
ababille	/aβaβiʎe/
ababilléis	/aβaβiˈʎeis/
ababillemos	/aβaβiʎemos/
ababillen	/aβaβiʎen/
ababilles	/aβaβiʎes/
ababilló	/aβaβiˈʎo/
ababillo	/aβaβiʎo/
abacera	/aβaseɾa/
abaceras	/aβaseɾas/
abacería	/aβaseˈɾia/
abacerías	/aβaseˈɾias/
abacero	/aβaseɾo/
abaceros	/aβaseɾos/
ábaco	/ˈaβako/
ábacos	/ˈaβakos/
abad	/aβað/
abada	/aβaða/
abadas	/aβaðas/
abadeja	/aβaðexa/
abadejas	/aβaðexas/
abadejo	/aβaðexo/
abadejos	/aβaðexos/
abadenga	/aβaðeŋga/
abadengas	/aβaðeŋgas/
abadengo	/aβaðeŋgo/
abadengos	/aβaðeŋgos/
abaderna	/aβaðeɾna/
abadernaba	/aβaðeɾnaβa/
abadernabais	/aβaðeɾnaβais/
abadernábamos	/aβaðeˈɾnaβamos/
abadernaban	/aβaðeɾnaβan/
abadernabas	/aβaðeɾnaβas/
abadernad	/aβaðeɾnað/
abadernada	/aβaðeɾnaða/
abadernadas	/aβaðeɾnaðas/
abadernado	/aβaðeɾnaðo/
abadernados	/aβaðeɾnaðos/
abadernáis	/aβaðeˈɾnais/
abadernamos	/aβaðeɾnamos/
abadernan	/aβaðeɾnan/
abadernando	/aβaðeɾnando/
abadernar	/aβaðeɾnaɾ/
abadernará	/aβaðeɾnaˈɾa/
abadernara	/aβaðeɾnaɾa/
abadernarais	/aβaðeɾnaɾais/
abadernáramos	/aβaðeˈɾnaɾamos/
abadernarán	/aβaðeɾnaˈɾan/
abadernaran	/aβaðeɾnaɾan/
abadernarás	/aβaðeɾnaˈɾas/
abadernaras	/aβaðeɾnaɾas/
abadernaré	/aβaðeɾnaˈɾe/
abadernare	/aβaðeɾnaɾe/
abadernaréis	/aβaðeɾnaˈɾeis/
abadernareis	/aβaðeɾnaɾeis/
abadernáremos	/aβaðeˈɾnaɾemos/
abadernaremos	/aβaðeɾnaɾemos/
abadernaren	/aβaðeɾnaɾen/
abadernares	/aβaðeɾnaɾes/
abadernaría	/aβaðeɾnaˈɾia/
abadernaríais	/aβaðeɾnaˈɾiais/
abadernaríamos	/aβaðeɾnaˈɾiamos/
abadernarían	/aβaðeɾnaˈɾian/
abadernarías	/aβaðeɾnaˈɾias/
abadernaron	/aβaðeɾnaɾon/
abadernas	/aβaðeɾnas/
abadernase	/aβaðeɾnase/
abadernaseis	/aβaðeɾnaseis/
abadernásemos	/aβaðeˈɾnasemos/
abadernasen	/aβaðeɾnasen/
abadernases	/aβaðeɾnases/
abadernaste	/aβaðeɾnaste/
abadernasteis	/aβaðeɾnasteis/
abaderné	/aβaðeˈɾne/
abaderne	/aβaðeɾne/
abadernéis	/aβaðeˈɾneis/
abadernemos	/aβaðeɾnemos/
abadernen	/aβaðeɾnen/
abadernes	/aβaðeɾnes/
abadernó	/aβaðeˈɾno/
